brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Car_Age,Price_per_Mile,Luxury_Brand,High_Mileage,Vehicle_Age_Group
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Unknown,39366,6,1.2557338352100544,0,0,Moderate
Lexus,RC 350 Base,2015,48000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900,11,0.6854166666666667,1,0,Old
BMW,525 i,2005,91420,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900,21,0.09735287683220302,1,0,Very Old
Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995,23,0.04003815447754016,0,1,Very Old
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,Unknown,104900,3,43.43685300207039,0,0,New
GMC,Acadia SLT-1,2012,116226,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900,14,0.06797102197442913,0,1,Old
Lexus,LC 500 Base,2020,37869,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,Unknown,75950,6,2.005598246586918,1,0,Moderate
BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000,7,2.072289156626506,1,0,Moderate
Lexus,ES 300h Base,2013,87001,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995,13,0.206836703026402,1,0,Old
Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655,4,12.503931700741406,0,0,New
BMW,540 i xDrive,2020,27158,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,Unknown,39998,6,1.4727888651594374,1,0,Moderate
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500,12,0.103716631856027,0,1,Old
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500,4,1.73992673992674,0,0,New
BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000,12,0.7334564815820928,1,0,Old
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000,10,0.125,0,1,Moderate
Cadillac,XT4 Sport,2019,44500,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,28900,7,0.6494382022471911,0,0,Moderate
BMW,750 750i xDrive,2021,10917,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,Unknown,73998,5,6.778235779060181,1,0,New
Bentley,Arnage R,2005,8332,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,47350,21,5.682909265482477,0,0,Very Old
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,Unknown,47698,6,0.9307471656877476,0,0,Moderate
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500,10,0.5289855072463768,1,0,Moderate
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,32662,5,0.22093699690193055,0,1,New
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600,13,0.06285714285714286,0,1,Old
Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995,15,0.10840211272952073,1,0,Old
Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500,16,4.455128205128205,0,0,Old
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,Unknown,30775,8,0.2939350525310411,0,1,Moderate
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995,16,0.13815171117377123,0,0,Old
Rivian,R1S Adventure Package,2023,2500,Unknown,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,None reported,Yes,94000,3,37.6,0,0,New
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,Unknown,44798,4,3.399711618729605,1,0,New
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000,10,0.23958333333333334,1,0,Moderate
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,None reported,Yes,22495,15,0.24185831478674108,0,0,Old
INFINITI,Q70h Base,2016,52750,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998,10,0.5497251184834123,0,0,Moderate
Audi,A7 Premium Plus,2020,25361,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,Unknown,49998,6,1.971452229801664,1,0,Moderate
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,Unknown,Unknown,9995,11,0.10144427415835253,1,0,Old
Lucid,Air Pure,2023,1300,Unknown,620.0HP Electric Motor Electric Fuel System,A/T,Black,Gray,Unknown,Unknown,86900,3,66.84615384615384,0,0,New
Chrysler,Pacifica Touring,2017,87305,–,–,9-Speed A/T,Silver,Black,None reported,Yes,9000,9,0.1030868793310807,0,0,Moderate
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,Unknown,Unknown,25999,14,0.3565316365431557,1,0,Old
